Element;Categorie;Sous_categorie;Phase;Propriété;IFC_Reference;Revit_Param;Requis
Appareil de données;Classe et type IFC;Types IFC;Toutes;Switch data;IfcElectricApplianceType.USERDEFINED[NETWORKHUB];Data Devices [BIMids Classification:Data device];Oui
Appareil de données;Classe et type IFC;Types IFC;Toutes;Fax;IfcElectricApplianceType.USERDEFINED[FAX];Data Devices [BIMids Classification:Data device];Oui
Appareil de données;Classe et type IFC;Types IFC;Toutes;Modem internet;IfcElectricApplianceType.USERDEFINED[MODEM];Data Devices [BIMids Classification:Data device];Oui
Appareil de données;Classe et type IFC;Types IFC;Toutes;Accessoire réseau (firewall, répartition charge réseau,etc.);IfcElectricApplianceType.USERDEFINED[NETWORKAPPLIANCE];Data Devices [BIMids Classification:Data device];Oui
Appareil de données;Classe et type IFC;Types IFC;Toutes;Répétiteur (Wifi, gsm,etc.);IfcElectricApplianceType.USERDEFINED[REPEATER];Data Devices [BIMids Classification:Data device];Oui
Appareil de données;Informations alphanumériques;Niveau objet;APD;Statut de rénovation (Archicad) ;ePset_ElectricApplianceTypeCommon.Status;-;Oui
Appareil de données;Informations alphanumériques;Niveau objet;PDE;Statut de rénovation (Archicad) ;ePset_ElectricApplianceTypeCommon.Status;-;Oui
Appareil de données;Informations alphanumériques;Niveau objet;EXE;Statut de rénovation (Archicad) ;ePset_ElectricApplianceTypeCommon.Status;-;Oui
Appareil de données;Informations alphanumériques;Niveau objet;EXP;Statut de rénovation (Archicad) ;ePset_ElectricApplianceTypeCommon.Status;-;Oui
Appareil de données;Informations alphanumériques;Niveau objet;APD;Classe IFC ;IFC Class;Export Type to IFC As;Oui
Appareil de données;Informations alphanumériques;Niveau objet;PDE;Classe IFC ;IFC Class;Export Type to IFC As;Oui
Appareil de données;Informations alphanumériques;Niveau objet;EXE;Classe IFC ;IFC Class;Export Type to IFC As;Oui
Appareil de données;Informations alphanumériques;Niveau objet;EXP;Classe IFC ;IFC Class;Export Type to IFC As;Oui
Appareil de données;Informations alphanumériques;Niveau objet;APD;Type IFC ;IfcElectricApplianceType.PredefinedType;Type IFC Predefined Type;Oui
Appareil de données;Informations alphanumériques;Niveau objet;PDE;Type IFC ;IfcElectricApplianceType.PredefinedType;Type IFC Predefined Type;Oui
Appareil de données;Informations alphanumériques;Niveau objet;EXE;Type IFC ;IfcElectricApplianceType.PredefinedType;Type IFC Predefined Type;Oui
Appareil de données;Informations alphanumériques;Niveau objet;EXP;Type IFC ;IfcElectricApplianceType.PredefinedType;Type IFC Predefined Type;Oui
Appareil de données;Informations alphanumériques;Niveau objet;APD;Type IFC personnalisé ;IfcObject.ObjectType;Objecttype;Oui
Appareil de données;Informations alphanumériques;Niveau objet;PDE;Type IFC personnalisé ;IfcObject.ObjectType;Objecttype;Oui
Appareil de données;Informations alphanumériques;Niveau objet;EXE;Type IFC personnalisé ;IfcObject.ObjectType;Objecttype;Oui
Appareil de données;Informations alphanumériques;Niveau objet;EXP;Type IFC personnalisé ;IfcObject.ObjectType;Objecttype;Oui
Appareil de données;Informations alphanumériques;Niveau objet;APD;Nom objet ;IfcRoot.Name;IfcName;Oui
Appareil de données;Informations alphanumériques;Niveau objet;PDE;Nom objet ;IfcRoot.Name;IfcName;Oui
Appareil de données;Informations alphanumériques;Niveau objet;EXE;Nom objet ;IfcRoot.Name;IfcName;Oui
Appareil de données;Informations alphanumériques;Niveau objet;EXP;Nom objet ;IfcRoot.Name;IfcName;Oui
Appareil de données;Informations alphanumériques;Niveau objet;APD;Statut ;ePset_ElectricApplianceTypeCommon.Status;Phase Created;Oui
Appareil de données;Informations alphanumériques;Niveau objet;PDE;Statut ;ePset_ElectricApplianceTypeCommon.Status;Phase Created;Oui
Appareil de données;Informations alphanumériques;Niveau objet;EXE;Statut ;ePset_ElectricApplianceTypeCommon.Status;Phase Created;Oui
