Element,Categorie,Sous_categorie,Phase,Type de document,Propriété,Paramètre IFC,Paramètre Revit_ENG,Nom,IFC Type,Catégorie Revit,Classification,Numéro - Description
Appareil audiovisuel,Informations alphanumériques,Niveau objet,APD,,Statut,ePset_ElectericApplianceTypeCommon.Status,Phase Created,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,PDE,,Statut,ePset_ElectericApplianceTypeCommon.Status,Phase Created,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,EXE,,Statut,ePset_ElectericApplianceTypeCommon.Status,Phase Created,,,,,
Appareil audiovisuel,Informations alphanumériques,Niveau objet,EXP,,Statut,ePset_ElectericApplianceTypeCommon.Status,Phase Created,,,,,
Appareil audiovisuel,Documentation,Descriptifs,APD,Prescriptions,,,,,,,,
Appareil audiovisuel,Documentation,Descriptifs,PDE,Prescriptions,,,,,,,,
Appareil audiovisuel,Documentation,Descriptifs,EXE,Prescriptions,,,,,,,,
Appareil audiovisuel,Documentation,Maintenance et fiches techniques,EXE,Fiche technique,,,,,,,,
Appareil audiovisuel,Documentation,Maintenance et fiches techniques,EXP,Fiche technique,,,,,,,,
Appareil audiovisuel,Documentation,Maintenance et fiches techniques,PDE,Protocole de communication,,,,,,,,
Appareil audiovisuel,Documentation,Maintenance et fiches techniques,EXE,Protocole de communication,,,,,,,,
Appareil audiovisuel,Documentation,Maintenance et fiches techniques,EXP,Protocole de communication,,,,,,,,
Appareil audiovisuel,Documentation,Maintenance et fiches techniques,EXE,Notice de montage,,,,,,,,
Appareil audiovisuel,Documentation,Maintenance et fiches techniques,EXP,Notice de montage,,,,,,,,
Appareil audiovisuel,Documentation,Maintenance et fiches techniques,EXE,Protocole de mesure,,,,,,,,
Appareil audiovisuel,Documentation,Maintenance et fiches techniques,EXP,Protocole de mesure,,,,,,,,
Appareil audiovisuel,Documentation,Maintenance et fiches techniques,EXE,Notice de maintenance,,,,,,,,
Appareil audiovisuel,Documentation,Maintenance et fiches techniques,EXP,Notice de maintenance,,,,,,,,
Appareil audiovisuel,Documentation,Maintenance et fiches techniques,EXE,Carnet d'entretien,,,,,,,,
Appareil audiovisuel,Documentation,Maintenance et fiches techniques,EXP,Carnet d'entretien,,,,,,,,
Appareil audiovisuel,Documentation,Plans et schémas,PDE,Schéma unifilaire,,,,,,,,
Appareil audiovisuel,Documentation,Plans et schémas,EXE,Schéma unifilaire,,,,,,,,
Appareil audiovisuel,Documentation,Plans et schémas,EXP,Schéma unifilaire,,,,,,,,
Appareil audiovisuel,Classification,,Toutes,,,,,,,,Uniformat II 2010,D6020 - Voice Communications
Appareil audiovisuel,Classification,,Toutes,,,,,,,,Uniformat II 2010,D6030 - Audio-Video Communication
Appareil de données,Classe et type IFC,,Toutes,,,,,Antenne gsm,IfcElectricApplianceType.USERDEFINED[ANTENNA],Data Devices,,
Appareil de données,Classe et type IFC,,Toutes,,,,,Relai gsm,IfcElectricApplianceType.USERDEFINED[ANTENNA],Data Devices,,
Appareil de données,Classe et type IFC,,Toutes,,,,,Passerelle domotique,IfcElectricApplianceType.USERDEFINED[GATEWAY],Data Devices,,
Appareil de données,Classe et type IFC,,Toutes,,,,,Antenne,IfcElectricApplianceType.USERDEFINED[ANTENNA],Data Devices,,
Appareil de données,Classe et type IFC,,Toutes,,,,,Imprimante,IfcElectricApplianceType.PRINTER,Data Devices,,
Appareil de données,Classe et type IFC,,Toutes,,,,,Ordinateur,IfcElectricApplianceType.COMPUTER,Data Devices,,
Appareil de données,Classe et type IFC,,Toutes,,,,,Serveur,IfcElectricApplianceType.COMPUTER,Data Devices,,
Appareil de données,Classe et type IFC,,Toutes,,,,,Switch data,IfcElectricApplianceType.USERDEFINED[NETWORKHUB],Data Devices,,
Appareil de données,Classe et type IFC,,Toutes,,,,,Fax,IfcElectricApplianceType.USERDEFINED[FAX],Data Devices,,
Appareil de données,Classe et type IFC,,Toutes,,,,,Modem internet,IfcElectricApplianceType.USERDEFINED[MODEM],Data Devices,,
Appareil de données,Classe et type IFC,,Toutes,,,,,"Accessoire réseau (firewall, répartition charge réseau,etc.)",IfcElectricApplianceType.USERDEFINED[NETWORKAPPLIANCE],Data Devices,,
Appareil de données,Classe et type IFC,,Toutes,,,,,"Répétiteur (Wifi, gsm,etc.)",IfcElectricApplianceType.USERDEFINED[REPEATER],Data Devices,,
Appareil de données,Classe et type IFC,,Toutes,,,,,Scanner,IfcElectricApplianceType.SCANNER,Data Devices,,
Appareil de données,Classe et type IFC,,Toutes,,,,,"Routeur (point d'accès wifi,etc.)",IfcElectricApplianceType.USERDEFINED[ROUTER],Data Devices,,
Appareil de données,Informations alphanumériques,Niveau objet,APD,,Statut de rénovation (Archicad),ePset_ElectricApplianceTypeCommon.Status,-,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,PDE,,Statut de rénovation (Archicad),ePset_ElectricApplianceTypeCommon.Status,-,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,EXE,,Statut de rénovation (Archicad),ePset_ElectricApplianceTypeCommon.Status,-,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,EXP,,Statut de rénovation (Archicad),ePset_ElectricApplianceTypeCommon.Status,-,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,APD,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,PDE,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,EXE,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Appareil de données,Informations alphanumériques,Niveau objet,EXP,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
